Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,CN,3,2015,56,M,false,Java,NOVEMBER,2021,Lecture 4
1,CN,3,2015,56,M,false,Python,DECEMBER,2018,Lecture 10
2,GB,8,2017,44,F,true,Java,SEPTEMBER,2022,Lecture 13
2,GB,8,2017,44,F,true,Python,DECEMBER,2023,Lecture 14
3,GB,2,2016,53,F,false,Java,FEBRUARY,2022,Lecture 2
3,GB,2,2016,53,F,false,Python,OCTOBER,2021,Lecture 11
4,IN,12,2015,37,U,false,Java,JUNE,2022,Lecture 2
4,IN,12,2015,37,U,false,Python,FEBRUARY,2021,Lecture 5
5,US,3,2023,76,F,false,Java,OCTOBER,2023,Lecture 7
5,US,3,2023,76,F,false,Python,JULY,2023,Lecture 9
6,CN,9,2019,75,M,true,Java,JULY,2020,Lecture 12
6,CN,9,2019,75,M,true,Python,JULY,2020,Lecture 14
7,GB,12,2021,76,U,false,Java,SEPTEMBER,2022,Lecture 8
7,GB,12,2021,76,U,false,Python,DECEMBER,2022,Lecture 6
8,CN,1,2022,76,U,true,Java,DECEMBER,2022,Lecture 6
8,CN,1,2022,76,U,true,Python,SEPTEMBER,2022,Lecture 12
9,US,5,2015,43,U,false,Java,APRIL,2021,Lecture 12
9,US,5,2015,43,U,false,Python,DECEMBER,2020,Lecture 12
10,GB,10,2016,31,F,false,Java,NOVEMBER,2021,Lecture 4
10,GB,10,2016,31,F,false,Python,FEBRUARY,2022,Lecture 11
11,AU,11,2018,82,F,true,Java,MARCH,2022,Lecture 3
11,AU,11,2018,82,F,true,Python,MARCH,2022,Lecture 4
12,IN,6,2020,18,F,false,Java,JANUARY,2022,Lecture 12
12,IN,6,2020,18,F,false,Python,JANUARY,2020,Lecture 14
13,IN,5,2017,25,U,false,Java,NOVEMBER,2019,Lecture 6
13,IN,5,2017,25,U,false,Python,DECEMBER,2022,Lecture 2
14,CN,6,2022,77,U,false,Java,APRIL,2022,Lecture 1
14,CN,6,2022,77,U,false,Python,DECEMBER,2023,Lecture 4
15,CN,5,2021,47,M,false,Java,MARCH,2022,Lecture 3
15,CN,5,2021,47,M,false,Python,MARCH,2023,Lecture 10
16,IN,3,2020,61,M,true,Java,JULY,2022,Lecture 3
16,IN,3,2020,61,M,true,Python,SEPTEMBER,2020,Lecture 4
17,IN,4,2021,59,F,false,Java,SEPTEMBER,2023,Lecture 13
17,IN,4,2021,59,F,false,Python,APRIL,2021,Lecture 4
18,GB,10,2016,88,F,false,Java,DECEMBER,2017,Lecture 9
18,GB,10,2016,88,F,false,Python,MARCH,2016,Lecture 4
19,GB,11,2020,74,F,false,Java,JANUARY,2021,Lecture 12
19,GB,11,2020,74,F,false,Python,DECEMBER,2020,Lecture 13
20,AU,11,2023,19,U,false,Java,AUGUST,2023,Lecture 14
20,AU,11,2023,19,U,false,Python,AUGUST,2023,Lecture 9
21,AU,12,2017,45,F,false,Java,SEPTEMBER,2020,Lecture 5
21,AU,12,2017,45,F,false,Python,JULY,2020,Lecture 3
22,GB,1,2023,46,M,false,Java,OCTOBER,2023,Lecture 14
22,GB,1,2023,46,M,false,Python,MAY,2023,Lecture 11
23,US,1,2015,39,U,false,Java,JUNE,2016,Lecture 11
23,US,1,2015,39,U,false,Python,SEPTEMBER,2022,Lecture 2
24,CN,8,2016,71,M,false,Java,MARCH,2016,Lecture 7
24,CN,8,2016,71,M,false,Python,MARCH,2020,Lecture 9
25,IN,8,2022,76,M,false,Java,JANUARY,2023,Lecture 9
25,IN,8,2022,76,M,false,Python,FEBRUARY,2023,Lecture 8
